mean_distance,mean_duration,total_amount,rush_hour
3.5216666666666665,22.847222222222218,13.8,0
3.108888888888889,24.470370370370368,16.8,0
0.8814285714285715,7.25,7.3,1
3.7,30.25,21.3,0
4.4350000000000005,14.616666666666667,17.8,0
2.052258064516129,11.855376344086022,10.3,0
12.83,31.942708333333336,49.3,1
4.0225,26.4375,17.799999999999997,1
1.0192592592592593,7.873456790123457,9.8,0
1.5799999999999998,10.541111111111112,13.8,0
1.641,14.178333333333333,12.3,0
3.3075,15.058333333333334,16.799999999999997,1
2.39,7.866666666666666,10.8,0
2.93,19.555,18.3,0
5.949999999999999,17.166666666666664,19.8,1
3.266666666666667,14.733333333333334,14.3,1
1.6228571428571428,12.304761904761905,10.3,0
0.6621428571428571,4.577380952380952,6.8,1
2.1383333333333336,13.63888888888889,12.8,0
1.3033333333333335,6.997777777777778,7.8,0
0.7076923076923076,5.083333333333333,6.8,0
1.8766666666666667,8.994444444444445,8.3,0
0.9,4.633333333333334,6.3,0
1.365,10.897916666666667,9.3,0
3.1500000000000004,16.925,14.3,0
0.9922950819672132,10.048087431693988,6.3,0
2.15,13.945833333333333,11.8,0
30.83,31.942708333333336,81.3,0
2.1277777777777778,14.282407407407407,11.8,0
1.285,9.110416666666667,9.8,0
14.32,28.983333333333334,41.8,0
2.6923076923076925,14.447435897435897,17.3,1
1.9633333333333334,17.365555555555556,11.3,0
3.214,17.433333333333334,10.8,0
0.6,4.466666666666667,5.8,0
1.8369230769230769,13.502564102564103,12.3,1
0.8415384615384615,6.178205128205128,4.8,0
1.3384615384615384,6.333974358974359,8.3,0
1.474705882352941,13.119607843137254,11.3,1
1.7333333333333334,11.068888888888889,9.8,0
4.52,16.35,17.3,1
1.455,8.868055555555555,7.299999999999999,0
0.6253846153846154,5.823076923076924,6.8,1
1.9735294117647058,12.711764705882352,10.3,1
1.395217391304348,14.095652173913043,11.3,0
3.665714285714286,17.86190476190476,32.8,0
3.5233333333333334,15.088888888888889,12.3,0
0.6303846153846154,5.390384615384615,4.3,1
7.37,24.183333333333334,26.3,1
1.9580000000000002,12.07,12.3,1
2.5566666666666666,21.569444444444443,18.3,0
1.1355555555555557,6.517901234567902,6.3,1
3.214,17.433333333333334,16.8,1
11.11,29.706666666666667,33.800000000000004,0
2.93,19.555,16.3,0
2.46,9.408333333333333,11.3,0
1.03,9.822619047619048,7.8,0
0.6018918918918919,5.559459459459459,5.3,1
0.38,2.45,5.8,1
1.181904761904762,10.54047619047619,8.8,0
7.63,19.433333333333334,21.8,0
1.0374193548387096,6.557258064516129,5.800000000000001,1
0.9872222222222222,8.190740740740742,5.3,0
3.776,28.929999999999996,28.800000000000004,0
3.4442857142857144,21.445238095238096,14.3,0
1.051212121212121,8.531818181818181,6.3,1
0.96,4.333333333333333,7.3,1
2.5125,16.575,11.3,0
0.97,6.116666666666666,7.8,0
0.8908333333333334,6.705555555555556,6.3,0
0.86,4.283333333333333,7.3,0
0.9583333333333334,6.284722222222222,5.8,1
1.799642857142857,15.05595238095238,7.8,0
4.576666666666667,24.8,18.8,0
1.7091666666666667,12.618055555555555,10.3,0
11.2,22.266666666666666,32.8,0
1.2333333333333334,5.952777777777778,9.3,0
0.9757777777777779,31.942708333333336,9.3,1
