trip_distance,duration,total_amount,rush_hour
1.24,6.566666666666666,7.799999999999999,0
8.18,25.266666666666666,26.8,0
1.7,11.516666666666667,10.8,0
1.36,9.833333333333334,8.8,0
2.19,17.6,12.8,1
1.25,10.116666666666667,9.8,1
1.42,14.583333333333334,11.3,0
0.45,2.55,5.3,0
6.7,11.616666666666667,20.8,0
2.3,9.666666666666666,11.8,1
1.15,8.433333333333334,7.799999999999999,0
0.68,6.466666666666667,6.3,0
15.89,39.883333333333326,53.8,1
5.04,26.316666666666666,21.8,0
1.46,15.083333333333334,12.3,1
1.0,12.316666666666666,10.8,1
0.0,0.16666666666666666,3.8,0
0.6,5.483333333333333,6.3,0
15.48,39.883333333333326,45.8,1
1.1,6.216666666666667,7.3,0
3.8,15.5,16.3,0
6.02,16.216666666666665,20.8,0
1.8,9.2,9.3,0
1.74,4.883333333333334,8.8,1
0.2,4.2,6.3,1
2.06,11.316666666666666,10.8,0
1.2,10.316666666666666,8.8,1
0.51,9.616666666666667,8.3,0
1.65,8.733333333333333,9.3,0
0.6,2.5833333333333335,5.8,1
1.12,7.55,8.3,0
3.7,39.883333333333326,26.3,1
1.52,10.166666666666666,9.8,0
1.36,7.75,8.3,0
5.0,28.933333333333334,21.8,0
0.76,5.166666666666667,6.3,0
2.15,12.1,10.8,0
0.67,6.933333333333334,7.800000000000001,1
1.7,21.383333333333333,14.8,1
0.48,3.316666666666667,4.8,1
2.1,6.183333333333334,9.3,0
2.16,23.95,16.299999999999997,0
1.4,9.9,9.8,1
4.33,21.9,19.3,0
16.48,32.0,47.3,1
4.9,24.85,22.3,0
2.81,12.983333333333333,13.3,0
2.4,11.9,12.3,0
0.6,1.9,4.800000000000001,0
1.01,4.066666666666666,6.3,0
6.0,18.35,20.8,0
0.61,4.816666666666666,6.3,0
2.0,15.05,12.3,0
1.89,9.7,9.8,0
2.24,16.116666666666667,13.8,0
1.9,17.05,12.8,0
1.16,8.55,8.8,0
2.6,25.183333333333334,18.8,1
0.0,0.43333333333333335,4.3,1
1.21,8.05,7.799999999999999,0
4.4,17.533333333333335,18.8,0
0.54,4.416666666666667,6.3,1
7.32,21.933333333333334,25.3,1
1.4,5.583333333333333,7.3,0
2.81,15.6,13.3,1
0.92,6.183333333333334,7.3,0
1.9,15.766666666666667,12.8,0
0.62,3.2666666666666666,5.3,0
2.1,8.333333333333334,10.3,1
0.24,1.7166666666666666,4.3,1
1.39,20.2,14.8,1
3.5,29.15,21.3,1
0.84,8.083333333333334,8.3,0
2.68,14.25,12.3,0
10.91,28.85,33.3,1
4.5,37.916666666666664,24.3,0
1.4,10.85,9.8,0
2.0,8.016666666666667,9.8,0
0.4,1.2666666666666666,4.3,1
0.6,6.2,6.3,0
0.9,7.483333333333333,7.8,1
1.22,8.766666666666667,8.8,0
1.7,13.8,10.8,0
0.7,8.633333333333333,7.8,0
1.42,14.1,10.8,0
0.9,5.383333333333334,7.8,1
8.8,28.3,29.8,0
0.02,0.16666666666666666,3.3,0
1.28,15.833333333333334,11.8,0
0.4,7.416666666666667,6.8,0
0.79,3.783333333333333,6.3,0
1.7,10.033333333333333,9.8,0
2.19,9.916666666666666,11.3,0
0.9,8.2,7.8,0
1.0,12.866666666666667,9.8,0
2.5,14.516666666666667,13.3,0
3.42,21.4,16.299999999999997,0
1.7,16.2,12.3,0
2.42,13.033333333333333,12.8,0
2.89,8.516666666666667,11.3,1
0.64,3.6666666666666665,6.3,1
2.0,11.116666666666667,10.8,0
1.97,14.05,12.3,1
1.03,4.333333333333333,6.8,0
1.77,13.366666666666667,10.8,1
8.6,39.06666666666667,32.800000000000004,1
1.0,6.683333333333334,7.3,1
0.9,2.25,5.8,0
13.31,39.883333333333326,41.8,0
5.29,34.583333333333336,24.8,0
1.5,10.55,9.8,0
7.48,21.616666666666667,24.8,0
1.6,30.55,18.8,0
6.98,32.083333333333336,27.8,1
4.33,31.183333333333334,23.3,1
4.6,11.416666666666666,15.8,1
0.8,7.616666666666666,7.3,1
2.0,12.933333333333334,11.8,0
0.42,3.5,5.8,1
3.2,21.216666666666665,16.3,1
18.17,39.883333333333326,52.8,0
1.2,15.133333333333333,11.3,1
1.7,12.45,10.8,0
0.68,1.7666666666666666,5.300000000000001,0
0.6,4.75,5.8,0
2.1,11.366666666666667,10.8,0
1.4,23.3,15.8,1
1.2,9.983333333333333,8.8,1
1.25,12.016666666666667,9.8,0
2.4,12.083333333333334,10.8,0
5.55,32.18333333333333,25.3,1
0.9,10.4,9.8,1
4.44,9.7,15.3,0
7.66,36.46666666666667,30.3,0
0.42,2.2666666666666666,4.8,0
1.21,8.133333333333333,8.3,0
1.35,8.033333333333333,8.3,0
0.91,4.283333333333333,5.8,1
0.7,3.6,5.300000000000001,0
2.23,18.25,14.3,0
3.39,15.65,14.8,0
0.41,3.183333333333333,4.8,0
2.66,14.35,12.8,0
0.8,4.366666666666666,6.800000000000001,1
1.09,7.483333333333333,7.3,0
2.6,8.166666666666666,11.8,0
0.77,6.883333333333334,7.299999999999999,0
0.69,7.916666666666667,7.3,0
2.5,16.4,13.3,0
7.4,28.15,27.8,0
3.5,23.066666666666666,18.3,1
1.46,11.016666666666667,10.8,1
1.1,8.766666666666667,8.3,0
1.2,6.483333333333333,7.8,0
1.0,6.633333333333334,7.3,0
0.75,5.2,6.3,0
0.7,8.35,7.799999999999999,1
4.5,18.316666666666666,17.3,1
5.9,30.783333333333335,24.8,0
0.84,6.55,7.3,0
0.7,12.75,9.3,1
9.2,22.533333333333335,29.8,0
2.12,16.516666666666666,12.8,1
3.1,17.7,15.8,0
11.26,23.05,32.800000000000004,0
0.8,9.283333333333333,8.299999999999999,0
2.94,16.983333333333334,14.8,0
4.0,12.433333333333334,14.8,0
2.29,10.866666666666667,11.8,0
1.28,16.433333333333334,11.8,0
0.9,14.383333333333333,11.8,1
0.86,7.75,7.8,0
0.84,10.35,8.8,0
1.23,9.516666666666667,9.8,1
0.8,4.566666666666666,5.800000000000001,0
25.69,39.883333333333326,70.3,0
0.58,4.216666666666667,6.8,1
0.2,2.5833333333333335,4.3,0
0.9,3.0833333333333335,5.800000000000001,1
0.61,7.883333333333334,7.300000000000001,0
0.84,10.5,9.3,0
0.8,4.333333333333333,6.800000000000001,0
1.75,7.433333333333334,9.8,1
0.3,2.033333333333333,4.8,0
1.89,5.916666666666667,8.8,0
0.0,0.45,3.3,0
0.8,3.8666666666666667,5.8,1
1.1,6.3,7.8,0
1.14,9.25,8.3,0
2.19,17.85,13.3,1
2.2,28.55,18.8,1
7.9,39.06666666666667,31.8,0
6.1,39.883333333333326,28.8,0
4.7,17.95,17.3,0
3.63,11.816666666666666,14.3,0
1.0,5.516666666666667,7.300000000000001,0
1.48,10.033333333333333,9.3,0
0.5,2.6333333333333333,4.8,0
10.7,22.983333333333334,33.8,0
3.13,16.516666666666666,14.8,0
3.33,15.05,14.3,0
2.14,12.716666666666667,11.8,0
6.91,33.2,28.8,1
0.7,8.033333333333333,7.3,1
2.53,14.716666666666667,13.8,0
0.25,2.2333333333333334,4.8,0
1.41,12.633333333333333,10.3,0
2.5,21.65,16.3,1
3.15,20.483333333333334,16.299999999999997,0
1.4,7.433333333333334,8.8,0
3.4,18.6,15.8,0
1.82,8.7,9.3,0
0.8,6.4,6.8,1
1.93,17.433333333333334,13.3,0
0.8,6.233333333333333,7.8,1
0.98,11.4,10.3,1
4.34,21.7,18.3,0
5.2,19.25,19.3,0
0.9,5.3,7.3,1
0.69,3.216666666666667,5.300000000000001,0
1.9,5.583333333333333,8.3,0
1.4,7.8,8.8,0
1.76,15.466666666666667,12.3,1
0.98,7.916666666666667,7.8,1
2.0,11.533333333333333,11.3,0
3.5,18.733333333333334,17.8,1
1.6,8.8,9.3,0
0.4,6.766666666666667,6.8,0
2.03,12.316666666666666,11.3,0
0.0,0.0,11.3,1
0.83,9.383333333333333,9.3,1
0.7,6.883333333333334,6.8,0
1.67,7.2,8.8,0
1.2,6.983333333333333,8.3,0
3.8,13.95,15.8,0
2.0,10.933333333333334,10.8,0
0.73,5.416666666666667,6.3,0
0.56,8.4,7.3,0
1.0,11.783333333333333,9.3,0
4.49,16.766666666666666,17.8,0
1.14,17.316666666666666,15.25,1
5.15,33.81666666666667,25.3,0
0.86,5.083333333333333,7.3,1
3.01,9.35,11.8,0
2.34,9.766666666666667,10.8,0
2.25,18.95,14.8,0
0.5,4.016666666666667,5.3,0
0.9,5.2,6.800000000000001,0
0.92,9.516666666666667,8.3,0
2.1,11.45,11.8,1
2.2,10.416666666666666,11.3,0
1.55,10.616666666666667,9.8,0
2.5,17.8,13.8,1
0.77,3.6333333333333333,6.300000000000001,1
12.9,31.8,40.3,0
0.7,4.066666666666666,5.8,0
1.5,4.983333333333333,7.3,1
0.6,6.2,6.3,0
10.12,18.133333333333333,30.300000000000004,0
1.5,15.633333333333333,11.8,0
1.0,6.916666666666667,7.3,0
0.8,6.033333333333333,6.800000000000001,1
3.23,16.566666666666666,14.3,0
0.6,8.35,7.8,1
4.2,21.55,19.3,0
1.07,7.333333333333333,7.8,0
1.8,24.883333333333333,16.8,0
0.94,3.9,5.8,0
0.8,7.05,7.8,1
13.26,33.93333333333333,39.3,0
5.3,38.71666666666667,26.8,0
1.14,7.033333333333333,7.800000000000001,0
12.0,27.2,36.3,0
3.2,12.083333333333334,13.3,0
0.5,2.9166666666666665,4.8,0
0.45,3.816666666666667,6.3,1
0.7,8.033333333333333,8.8,1
5.14,34.3,25.3,1
1.72,21.316666666666666,14.8,0
5.15,25.833333333333332,21.3,0
2.27,34.28333333333333,21.3,0
0.36,1.7666666666666666,4.8,0
8.89,25.916666666666668,29.3,0
0.4,2.4833333333333334,4.8,1
1.46,8.533333333333333,8.8,0
4.39,15.233333333333333,17.3,0
1.7,11.433333333333334,9.8,0
2.1,10.333333333333334,10.8,0
2.71,16.983333333333334,14.3,0
3.05,25.05,17.8,1
1.0,5.016666666666667,6.8,0
2.8,12.033333333333333,13.3,1
3.7,23.216666666666665,18.8,0
0.8,3.8,6.3,0
2.0,15.95,12.3,0
1.0,6.883333333333334,7.3,0
0.7,7.966666666666667,7.3,1
1.36,11.733333333333333,9.8,1
1.3,5.916666666666667,6.8,0
1.3,6.566666666666666,7.3,0
1.6,19.916666666666668,13.8,1
0.92,12.366666666666667,9.8,0
2.26,6.65,9.8,0
1.86,8.516666666666667,9.3,0
0.91,5.55,6.8,0
1.14,7.083333333333333,7.300000000000001,0
2.4,23.566666666666666,17.3,1
2.16,18.233333333333334,13.8,0
2.0,18.216666666666665,14.3,1
0.84,6.616666666666666,7.800000000000001,1
7.0,18.05,22.8,1
1.15,6.45,7.300000000000001,1
0.8,6.9,7.3,1
2.2,13.816666666666666,12.3,1
6.17,27.05,25.3,0
1.1,14.316666666666666,10.8,0
2.34,16.933333333333334,14.3,1
2.2,14.966666666666667,12.3,0
6.7,12.966666666666667,21.3,0
8.3,33.45,29.3,0
2.65,18.016666666666666,14.8,0
0.58,3.1666666666666665,5.300000000000001,0
1.2,16.383333333333333,11.8,0
2.56,7.65,10.3,1
1.6,12.55,10.8,0
2.74,13.616666666666667,12.8,0
2.38,12.283333333333333,12.3,0
1.56,9.783333333333333,9.3,0
1.7,11.7,10.8,0
0.4,4.6,5.3,0
0.47,7.45,6.8,0
2.45,14.116666666666667,12.8,0
1.08,4.583333333333333,6.3,1
1.93,12.7,11.3,0
0.85,3.8,6.3,0
1.5,11.916666666666666,10.3,0
2.6,17.616666666666667,13.8,0
0.95,6.483333333333333,7.800000000000001,1
1.26,6.783333333333333,7.3,0
0.9,6.85,7.3,1
2.03,5.116666666666666,8.3,0
2.23,18.466666666666665,13.8,1
1.3,7.55,8.299999999999999,1
1.0,6.333333333333333,7.300000000000001,0
2.2,20.183333333333334,14.3,0
2.7,23.933333333333334,16.8,1
2.1,15.133333333333333,12.3,0
4.2,22.95,19.3,0
3.7,17.2,15.8,0
1.3,6.0,7.800000000000001,0
1.03,22.1,14.3,0
1.0,7.066666666666666,7.300000000000001,0
1.3,12.133333333333333,9.8,0
0.89,3.933333333333333,6.8,1
0.66,8.216666666666667,7.3,0
1.16,5.7,7.300000000000001,0
1.33,7.483333333333333,7.8,0
0.58,2.4166666666666665,5.8,1
1.6,11.416666666666666,10.3,0
2.46,14.35,13.8,1
0.3,1.8,4.8,0
1.93,11.983333333333333,11.3,0
7.74,14.883333333333333,24.3,1
1.2,8.6,8.299999999999999,1
1.33,14.516666666666667,10.8,0
0.6,3.683333333333333,5.3,0
2.11,7.216666666666667,8.8,0
4.2,20.083333333333332,17.8,0
0.7,8.683333333333334,7.8,0
3.1,20.1,15.8,1
1.19,4.716666666666667,7.3,0
2.23,8.516666666666667,10.8,0
0.9,7.283333333333333,7.800000000000001,0
1.2,7.216666666666667,7.8,0
1.0,19.366666666666667,13.3,1
0.8,5.6,6.8,0
2.3,9.366666666666667,10.3,1
0.3,5.583333333333333,5.8,1
1.2,14.833333333333334,11.3,0
4.65,20.2,18.8,0
5.9,12.033333333333333,19.3,1
2.02,12.233333333333333,11.8,0
7.79,21.9,26.3,0
0.8,5.116666666666666,6.8,0
4.0,22.65,18.8,1
0.78,3.933333333333333,6.3,0
1.15,8.666666666666666,9.3,1
3.61,15.133333333333333,15.8,0
1.67,7.95,9.3,0
0.44,2.3833333333333333,5.300000000000001,0
1.3,8.116666666666667,8.8,0
1.73,6.883333333333334,8.8,0
2.3,20.4,14.8,0
4.43,14.966666666666667,15.8,0
3.08,16.316666666666666,14.3,0
8.69,24.733333333333334,28.800000000000004,1
2.39,14.766666666666667,13.3,1
0.85,14.366666666666667,10.8,1
1.06,16.35,11.3,1
5.06,22.6,21.8,1
0.0,0.05,3.8,0
1.63,11.566666666666666,10.3,0
1.1,3.816666666666667,6.3,0
8.33,28.7,30.300000000000004,1
1.8,13.683333333333334,10.8,0
3.1,21.766666666666666,17.8,0
2.0,12.216666666666667,11.8,1
13.79,39.883333333333326,50.3,0
1.7,8.05,8.8,0
8.18,24.433333333333334,27.3,0
0.51,4.45,5.3,0
2.3,17.6,13.3,0
1.8,6.916666666666667,8.8,0
5.6,30.666666666666668,24.3,0
4.2,20.9,17.8,1
0.8,4.416666666666667,6.3,0
1.42,6.55,7.8,0
4.8,29.9,23.3,1
3.32,14.05,13.8,1
2.78,8.85,10.8,0
1.1,7.883333333333334,8.3,0
0.6,3.2666666666666666,5.3,0
0.73,5.133333333333334,6.3,0
3.0,13.2,12.8,0
3.34,21.233333333333334,16.3,0
9.8,24.6,29.800000000000004,0
0.88,10.583333333333334,8.8,0
4.65,25.166666666666668,20.8,0
2.8,18.9,15.3,0
1.13,7.566666666666666,7.799999999999999,1
1.11,8.066666666666666,8.3,0
0.67,5.316666666666666,6.3,1
4.1,39.883333333333326,27.3,0
3.7,19.116666666666667,16.3,0
1.6,9.35,9.3,0
0.62,5.133333333333334,5.8,1
10.1,35.8,34.8,0
0.5,4.833333333333333,5.800000000000001,0
1.92,8.15,9.8,0
5.2,14.55,18.3,0
3.6,34.71666666666667,22.3,0
1.0,10.383333333333333,9.3,0
1.08,7.216666666666667,7.3,0
4.81,27.416666666666668,21.8,0
0.79,5.766666666666667,5.8,1
1.67,16.483333333333334,12.3,0
1.8,9.683333333333334,9.3,0
2.8,19.116666666666667,14.8,0
1.36,39.883333333333326,9.8,0
1.14,9.133333333333333,8.3,0
2.85,35.666666666666664,22.3,0
1.2,12.183333333333334,9.8,1
0.7,11.166666666666666,8.8,0
1.87,8.95,9.8,0
1.26,8.716666666666667,8.8,0
0.6,5.3,6.3,0
1.5,9.183333333333334,9.3,0
1.0,6.3,6.8,0
1.4,9.933333333333334,8.8,1
0.6,5.216666666666667,6.3,0
2.8,6.966666666666667,10.8,0
1.48,16.033333333333335,12.3,0
1.13,8.5,8.3,0
0.96,9.45,7.8,0
0.6,8.75,7.8,0
1.4,9.133333333333333,9.3,0
0.5,1.4833333333333334,4.8,0
1.22,6.616666666666666,7.299999999999999,0
1.6,10.133333333333333,9.8,0
8.97,20.65,28.800000000000004,0
1.0,6.116666666666666,7.300000000000001,0
0.46,2.183333333333333,4.8,0
0.3,1.15,3.8,1
7.1,25.15,25.8,0
0.67,6.7,6.8,0
2.04,30.5,19.3,1
1.98,15.483333333333333,13.3,1
9.21,35.1,34.3,1
1.0,6.516666666666667,6.8,0
0.8,7.866666666666666,7.300000000000001,0
5.67,18.416666666666668,20.8,0
0.6,3.9833333333333334,5.3,0
0.53,4.35,6.3,0
1.19,12.683333333333334,9.8,0
0.79,13.433333333333334,10.3,0
1.46,10.766666666666667,10.3,0
5.12,28.966666666666665,22.3,0
0.79,5.233333333333333,6.3,0
2.2,12.883333333333333,11.3,0
1.3,12.75,10.8,0
1.8,12.35,10.8,0
4.87,26.516666666666666,22.3,1
11.8,30.983333333333334,37.3,0
6.78,22.716666666666665,23.8,0
1.9,21.066666666666666,14.3,0
1.1,4.7,7.3,0
3.97,32.05,22.3,0
1.01,10.5,8.8,1
3.3,19.483333333333334,16.3,0
0.92,5.0,7.300000000000001,1
1.21,15.216666666666667,12.3,1
2.4,11.7,12.3,1
1.2,11.5,9.3,0
2.4,9.766666666666667,11.8,0
6.3,18.133333333333333,21.3,0
0.5,3.55,5.800000000000001,0
1.5,14.816666666666666,11.3,1
0.6,4.683333333333334,5.8,0
1.7,19.016666666666666,13.8,0
1.3,28.616666666666667,17.8,0
1.75,11.35,10.3,0
1.3,7.916666666666667,8.3,1
3.0,20.266666666666666,16.799999999999997,1
1.89,18.3,13.8,0
3.99,30.7,21.3,0
2.1,11.75,11.8,0
1.62,20.083333333333332,13.3,0
0.79,5.783333333333333,7.3,1
0.98,6.066666666666666,6.8,0
1.9,12.383333333333333,11.8,1
3.6,11.216666666666667,13.8,0
1.25,18.816666666666666,12.8,0
1.4,3.6333333333333333,7.3,0
2.4,9.9,10.8,0
3.11,13.85,14.3,0
2.8,7.233333333333333,10.3,0
1.0,5.283333333333333,7.300000000000001,0
4.02,25.766666666666666,19.8,0
1.27,6.666666666666667,7.3,1
1.5,7.683333333333334,8.8,0
0.9,9.55,9.3,1
1.3,6.766666666666667,7.799999999999999,0
2.93,13.9,13.3,0
0.67,6.85,6.8,0
1.4,19.95,13.8,0
1.6,7.266666666666667,7.800000000000001,0
1.0,8.633333333333333,8.8,1
2.71,35.86666666666667,22.8,1
1.0,5.216666666666667,7.3,0
2.54,14.833333333333334,13.3,0
1.0,5.383333333333334,7.8,1
1.46,10.2,9.3,1
6.0,17.683333333333334,21.3,0
0.0,0.0,8.8,1
1.18,4.383333333333334,7.300000000000001,0
6.96,15.966666666666667,22.3,0
1.53,19.216666666666665,14.3,1
1.23,8.766666666666667,9.3,1
0.68,3.466666666666667,5.8,0
2.05,14.266666666666667,11.8,0
0.92,13.8,10.8,0
0.8,3.7,5.8,1
1.4,13.966666666666667,10.8,1
0.76,7.633333333333334,7.3,0
1.13,7.45,7.3,0
9.52,39.883333333333326,43.8,0
3.2,13.633333333333333,13.3,0
0.58,10.583333333333334,8.3,1
8.8,38.43333333333333,33.300000000000004,0
1.39,5.866666666666666,7.799999999999999,0
2.7,19.616666666666667,15.3,0
1.18,7.383333333333334,7.8,0
7.62,18.65,24.8,0
1.49,34.016666666666666,20.3,0
1.11,19.516666666666666,13.3,0
0.9,5.133333333333334,6.8,0
14.3,33.03333333333333,42.3,1
0.9,2.933333333333333,5.800000000000001,0
1.15,12.1,9.8,0
7.59,21.916666666666668,25.8,0
0.8,10.5,9.8,1
1.5,11.083333333333334,10.8,1
1.19,2.816666666666667,6.3,0
0.11,2.433333333333333,4.8,0
0.5,15.45,11.8,0
9.12,38.75,33.800000000000004,0
0.96,4.933333333333334,7.300000000000001,0
0.95,9.766666666666667,8.3,0
1.2,8.45,8.3,0
2.0,21.483333333333334,14.8,0
3.0,18.283333333333335,15.3,1
1.26,6.716666666666667,7.3,0
14.81,36.8,44.3,0
2.82,20.3,15.3,0
2.4,12.783333333333333,11.8,0
3.28,9.883333333333333,12.8,1
0.42,7.183333333333334,6.8,0
6.1,14.133333333333333,19.8,0
1.52,9.0,9.3,0
2.9,13.65,13.3,0
0.8,9.133333333333333,7.8,0
0.7,3.966666666666667,5.3,0
